epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931234314328148,6.914146620788574,0.068,0.5
1,6.7626067116146995,6.350334637145996,1.836,5.772
2,6.528299354371571,6.0837176043701175,2.704,8.7
3,6.38584364028204,5.7850709367370605,3.748,11.538
4,6.189241182236445,5.568865882720948,5.216,15.106
5,6.011627605983189,5.330790665435791,6.908,19.226
6,5.924350170862107,5.121337170715332,8.18,21.874
7,5.80625445502145,5.041431355285645,9.39,23.682
8,5.668824036916097,4.903825570831299,10.302,26.19
9,5.567056383405413,4.672382416992187,12.74,30.264
10,5.434536116463797,4.41461887878418,15.258,35.064
11,5.285338356381371,4.334253805847168,16.73,36.57
12,5.208716914767311,4.113890611877442,18.68,40.418
13,5.1270368212745305,4.000225358581543,20.414,42.562
14,5.056547709873745,3.9806414448547365,21.03,42.89
15,4.969383875528972,3.7067625163269042,24.84,48.452
16,4.909086477188837,3.7609964862060545,23.738,47.06
17,4.825278463817778,3.5339925051879884,27.112,51.58
18,4.737167630876813,3.4583341287231444,28.89,54.028
19,4.680500757126581,3.351448539276123,29.778,55.374
20,4.620994863056001,3.2650536221313478,31.032,56.874
21,4.543473084767659,3.2123263482666014,31.496,57.73
22,4.496172110239665,3.2249910034179687,32.312,58.23
23,4.479262351989746,3.0428960708618162,34.736,60.796
